Patient ID,PDO,Drug,IC50(µM),LOG10 IC50(µM),Response category,Emax(% maximum inhibition)
108_T,108_T_XEN_CELL,sorafenib,11.5937,1.0642,Resistant,99.00
108_T,108_T_XEN_CELL,linifanib,10.9098,1.0378,Resistant,77.74
108_T,108_T_XEN_CELL,regorafenib,9.1760,0.9627,Resistant,93.80
108_T,108_T_XEN_CELL,sunitinib,8.2691,0.9175,Resistant,99.30
108_T,108_T_XEN_CELL,5-FU,>60.0000,1.7782,Resistant,44.00
108_T,108_T_XEN_CELL,oxaliplatin,3.8507,0.5855,Minor response,55.20
108_T,108_T_XEN_CELL,nintedanib,3.0562,0.4852,Minor response,98.68
108_T,108_T_XEN_CELL,vandetanib,1.3605,0.1337,Minor response,100.90
108_T,108_T_XEN_CELL,BI 860585,0.8373,-0.0771,Minor response,99.30
108_T,108_T_XEN_CELL,gefitinib,0.7327,-0.1351,Minor response,80.20
108_T,108_T_XEN_CELL,selumetinib,0.0932,-1.0306,Moderate response,83.29
108_T,108_T_XEN_CELL,staurosporine,0.0416,-1.3809,Moderate response,101.14
108_T,108_T_XEN_CELL,AZD8931,0.0327,-1.4855,Strong response,89.90
108_T,108_T_XEN_CELL,afatinib,0.0251,-1.6003,Strong response,100.10
114_T,114_T_XEN_CELL,AZD8931,60.0000,1.7782,Resistant,57.10
114_T,114_T_XEN_CELL,gefitinib,60.0000,1.7782,Resistant,61.70
114_T,114_T_XEN_CELL,linifanib,60.0000,1.7782,Resistant,85.54
114_T,114_T_XEN_CELL,regorafenib,60.0000,1.7782,Resistant,62.60
114_T,114_T_XEN_CELL,sorafenib,60.0000,1.7782,Resistant,71.30
114_T,114_T_XEN_CELL,vandetanib,60.0000,1.7782,Resistant,98.20
114_T,114_T_XEN_CELL,sunitinib,28.5061,1.4549,Resistant,99.70
114_T,114_T_XEN_CELL,nintedanib,18.0403,1.2562,Resistant,78.69
114_T,114_T_XEN_CELL,afatinib,17.7482,1.2492,Resistant,99.80
114_T,114_T_XEN_CELL,BI 860585,10.1336,1.0058,Resistant,96.70
114_T,114_T_XEN_CELL,5-FU,>60.0000,1.7782,Resistant,19.40
114_T,114_T_XEN_CELL,oxaliplatin,>60.0000,1.7782,Resistant,24.30
114_T,114_T_XEN_CELL,selumetinib,2.1690,0.3363,Minor response,95.81
114_T,114_T_XEN_CELL,staurosporine,0.2775,-0.5567,Moderate response,97.21
116_T,116_T_XEN_CELL,sorafenib,20.5653,1.3131,Resistant,86.00
116_T,116_T_XEN_CELL,regorafenib,10.8427,1.0351,Resistant,89.00
116_T,116_T_XEN_CELL,sunitinib,7.2437,0.8600,Resistant,97.80
116_T,116_T_XEN_CELL,linifanib,6.5276,0.8148,Resistant,75.34
116_T,116_T_XEN_CELL,5-FU,>60.0000,1.7782,Resistant,35.60
116_T,116_T_XEN_CELL,oxaliplatin,>60.0000,1.7782,Resistant,38.70
116_T,116_T_XEN_CELL,nintedanib,3.7354,0.5723,Minor response,97.77
116_T,116_T_XEN_CELL,gefitinib,2.3519,0.3714,Minor response,82.30
116_T,116_T_XEN_CELL,vandetanib,1.7420,0.2410,Minor response,100.60
116_T,116_T_XEN_CELL,selumetinib,1.6475,0.2168,Minor response,89.82
116_T,116_T_XEN_CELL,BI 860585,0.3733,-0.4279,Moderate response,97.00
116_T,116_T_XEN_CELL,AZD8931,0.0664,-1.1778,Moderate response,62.60
116_T,116_T_XEN_CELL,staurosporine,0.0281,-1.5513,Strong response,97.77
116_T,116_T_XEN_CELL,afatinib,0.0142,-1.8477,Strong response,55.80
151_METa,151_MET_CELL1,AZD8931,60.0000,1.7782,Resistant,63.70
151_METa,151_MET_CELL1,sorafenib,19.6655,1.2937,Resistant,95.00
151_METa,151_MET_CELL1,afatinib,10.9755,1.0404,Resistant,98.80
151_METa,151_MET_CELL1,vandetanib,9.4509,0.9755,Resistant,99.00
151_METa,151_MET_CELL1,regorafenib,7.9872,0.9024,Resistant,96.30
151_METa,151_MET_CELL1,5-FU,>60.0000,1.7782,Resistant,43.50
151_METa,151_MET_CELL1,gefitinib,>60.0000,1.7782,Resistant,33.60
151_METa,151_MET_CELL1,oxaliplatin,>60.0000,1.7782,Resistant,24.00
151_METa,151_MET_CELL1,nintedanib,4.7090,0.6729,Minor response,98.70
151_METa,151_MET_CELL1,sunitinib,2.8715,0.4581,Minor response,98.70
151_METa,151_MET_CELL1,BI 860585,0.6493,-0.1876,Minor response,61.70
151_METa,151_MET_CELL1,linifanib,0.3925,-0.4062,Moderate response,86.45
151_METa,151_MET_CELL1,selumetinib,0.1358,-0.8671,Moderate response,56.47
151_METa,151_MET_CELL1,staurosporine,0.0186,-1.7305,Strong response,99.45
152_T,152_T_CELL,afatinib,0.0634,-1.1979,Moderate response,49.50
152_T,152_T_CELL,gefitinib,60.0000,1.7782,Resistant,64.30
152_T,152_T_CELL,linifanib,60.0000,1.7782,Resistant,81.64
152_T,152_T_CELL,regorafenib,60.0000,1.7782,Resistant,86.70
152_T,152_T_CELL,sorafenib,60.0000,1.7782,Resistant,75.50
152_T,152_T_CELL,sunitinib,60.0000,1.7782,Resistant,99.20
152_T,152_T_CELL,vandetanib,17.5848,1.2451,Resistant,78.70
152_T,152_T_CELL,selumetinib,10.5670,1.0240,Resistant,95.47
152_T,152_T_CELL,nintedanib,6.4200,0.8075,Resistant,98.19
152_T,152_T_CELL,5-FU,>60.0000,1.7782,Resistant,27.10
152_T,152_T_CELL,oxaliplatin,>60.0000,1.7782,Resistant,33.60
152_T,152_T_CELL,BI 860585,4.2609,0.6295,Minor response,99.10
152_T,152_T_CELL,AZD8931,3.0893,0.4899,Minor response,93.70
152_T,152_T_CELL,staurosporine,0.0736,-1.1331,Moderate response,100.01
155_T,155_T_XEN_CELL,sorafenib,11.2622,1.0516,Resistant,90.00
155_T,155_T_XEN_CELL,linifanib,10.9659,1.0400,Resistant,105.55
155_T,155_T_XEN_CELL,sunitinib,7.8023,0.8922,Resistant,117.40
155_T,155_T_XEN_CELL,AZD8931,5.6477,0.7519,Resistant,87.70
155_T,155_T_XEN_CELL,vandetanib,5.5700,0.7459,Resistant,113.20
155_T,155_T_XEN_CELL,5-FU,>60.0000,1.7782,Resistant,40.80
155_T,155_T_XEN_CELL,oxaliplatin,>60.0000,1.7782,Resistant,31.20
155_T,155_T_XEN_CELL,regorafenib,4.3466,0.6381,Minor response,76.60
155_T,155_T_XEN_CELL,gefitinib,2.5680,0.4096,Minor response,91.30
155_T,155_T_XEN_CELL,afatinib,1.7544,0.2441,Minor response,117.00
155_T,155_T_XEN_CELL,nintedanib,1.5219,0.1824,Minor response,114.68
155_T,155_T_XEN_CELL,BI 860585,1.0110,0.0048,Minor response,105.70
155_T,155_T_XEN_CELL,selumetinib,0.3546,-0.4503,Moderate response,101.07
155_T,155_T_XEN_CELL,staurosporine,0.0922,-1.0353,Moderate response,93.08
155_T,155_T_XEN_CELL,irinotecan,14.2076,1.1525,Resistant,73.40
159_T,159_T_CELL,gefitinib,12.7291,1.1048,Resistant,91.50
159_T,159_T_CELL,sorafenib,8.8150,0.9452,Resistant,61.80
159_T,159_T_CELL,regorafenib,7.0722,0.8496,Resistant,74.00
159_T,159_T_CELL,5-FU,>60.0000,1.7782,Resistant,19.90
159_T,159_T_CELL,oxaliplatin,>60.0000,1.7782,Resistant,16.20
159_T,159_T_CELL,vandetanib,3.8660,0.5873,Minor response,91.70
159_T,159_T_CELL,afatinib,3.4971,0.5437,Minor response,100.10
159_T,159_T_CELL,nintedanib,2.9901,0.4757,Minor response,99.74
159_T,159_T_CELL,sunitinib,2.0886,0.3199,Minor response,94.20
159_T,159_T_CELL,selumetinib,0.5818,-0.2352,Minor response,59.28
159_T,159_T_CELL,AZD8931,0.3958,-0.4025,Moderate response,85.60
159_T,159_T_CELL,BI 860585,0.0669,-1.1743,Moderate response,57.00
159_T,159_T_CELL,linifanib,0.0341,-1.4667,Strong response,54.88
159_T,159_T_CELL,staurosporine,0.0179,-1.7462,Strong response,96.77
159_T,159_T_CELL,irinotecan,60.0000,1.7782,Resistant,16.80
161_T,161_T_XEN_CELL,sunitinib,60.0000,1.7782,Resistant,100.60
161_T,161_T_XEN_CELL,AZD8931,43.4151,1.6376,Resistant,69.00
161_T,161_T_XEN_CELL,linifanib,36.2038,1.5588,Resistant,74.24
161_T,161_T_XEN_CELL,gefitinib,30.3323,1.4819,Resistant,99.50
161_T,161_T_XEN_CELL,BI 860585,30.1616,1.4795,Resistant,90.70
161_T,161_T_XEN_CELL,nintedanib,28.1217,1.4490,Resistant,96.83
161_T,161_T_XEN_CELL,vandetanib,27.9638,1.4466,Resistant,87.20
161_T,161_T_XEN_CELL,afatinib,17.4685,1.2423,Resistant,100.80
161_T,161_T_XEN_CELL,selumetinib,11.8316,1.0730,Resistant,82.53
161_T,161_T_XEN_CELL,sorafenib,8.3529,0.9218,Resistant,98.90
161_T,161_T_XEN_CELL,oxaliplatin,>60.0000,1.7782,Resistant,26.50
161_T,161_T_XEN_CELL,regorafenib,3.5456,0.5497,Minor response,95.10
161_T,161_T_XEN_CELL,5-FU,0.6093,-0.2152,Minor response,57.00
161_T,161_T_XEN_CELL,staurosporine,0.1396,-0.8551,Moderate response,100.55
161_T,161_T_XEN_CELL,irinotecan,60.0000,1.7782,Resistant,27.70
162_T,162_T_CELL,linifanib,17.5703,1.2448,Resistant,77.12
162_T,162_T_CELL,regorafenib,14.6938,1.1671,Resistant,85.40
162_T,162_T_CELL,oxaliplatin,14.5026,1.1614,Resistant,55.30
162_T,162_T_CELL,sunitinib,8.8065,0.9448,Resistant,98.60
162_T,162_T_CELL,vandetanib,8.3476,0.9216,Resistant,99.00
162_T,162_T_CELL,nintedanib,5.0821,0.7060,Resistant,99.25
162_T,162_T_CELL,5-FU,>60.0000,1.7782,Resistant,45.90
162_T,162_T_CELL,sorafenib,2.8027,0.4476,Minor response,55.80
162_T,162_T_CELL,BI 860585,2.2898,0.3598,Minor response,97.60
162_T,162_T_CELL,gefitinib,1.0095,0.0041,Minor response,67.20
162_T,162_T_CELL,afatinib,0.6899,-0.1612,Minor response,99.30
162_T,162_T_CELL,selumetinib,0.5505,-0.2592,Minor response,62.95
162_T,162_T_CELL,AZD8931,0.0743,-1.1290,Moderate response,56.00
162_T,162_T_CELL,staurosporine,0.0095,-2.0223,Strong response,99.47
163_T,163_T_CELL,regorafenib,15.5994,1.1931,Resistant,52.20
163_T,163_T_CELL,gefitinib,10.4693,1.0199,Resistant,96.20
163_T,163_T_CELL,afatinib,10.4267,1.0181,Resistant,95.50
163_T,163_T_CELL,linifanib,8.1854,0.9130,Resistant,71.31
163_T,163_T_CELL,vandetanib,7.5632,0.8787,Resistant,108.80
163_T,163_T_CELL,nintedanib,7.3977,0.8691,Resistant,113.59
163_T,163_T_CELL,sorafenib,3.7812,0.5776,Minor response,87.30
163_T,163_T_CELL,selumetinib,3.6241,0.5592,Minor response,69.83
163_T,163_T_CELL,5-FU,>60.0000,1.7782,Resistant,19.70
163_T,163_T_CELL,oxaliplatin,>60.0000,1.7782,Resistant,22.00
163_T,163_T_CELL,sunitinib,1.7688,0.2477,Minor response,111.70
163_T,163_T_CELL,AZD8931,0.5661,-0.2471,Minor response,64.90
163_T,163_T_CELL,staurosporine,0.0434,-1.3625,Moderate response,87.43
163_T,163_T_CELL,BI 860585,0.0343,-1.4647,Strong response,85.40
163_T,163_T_CELL,irinotecan,7.7435,0.8889,Resistant,76.50
170_T,170_T2_CELL,AZD8931,60.0000,1.7782,Resistant,55.50
170_T,170_T2_CELL,sorafenib,14.4199,1.1590,Resistant,95.20
170_T,170_T2_CELL,linifanib,11.0595,1.0437,Resistant,95.64
170_T,170_T2_CELL,regorafenib,10.9718,1.0403,Resistant,92.70
170_T,170_T2_CELL,afatinib,9.2960,0.9683,Resistant,98.60
170_T,170_T2_CELL,vandetanib,8.5132,0.9301,Resistant,99.20
170_T,170_T2_CELL,sunitinib,8.3852,0.9235,Resistant,98.10
170_T,170_T2_CELL,oxaliplatin,6.4824,0.8117,Resistant,72.70
170_T,170_T2_CELL,nintedanib,4.1909,0.6223,Minor response,98.49
170_T,170_T2_CELL,gefitinib,>60.0000,1.7782,Resistant,22.30
170_T,170_T2_CELL,selumetinib,1.4223,0.1530,Minor response,64.35
170_T,170_T2_CELL,BI 860585,0.1832,-0.7371,Moderate response,98.80
170_T,170_T2_CELL,5-FU,0.0990,-1.0044,Moderate response,52.40
170_T,170_T2_CELL,staurosporine,0.0827,-1.0825,Moderate response,99.51
190_T,190_T_CELL,nintedanib,8.6014,0.9346,Resistant,100.11
190_T,190_T_CELL,sunitinib,8.5717,0.9331,Resistant,100.20
190_T,190_T_CELL,BI 860585,4.9846,0.6976,Minor response,100.20
190_T,190_T_CELL,regorafenib,3.0833,0.4890,Minor response,100.10
190_T,190_T_CELL,oxaliplatin,>60.0000,1.7782,Resistant,34.20
190_T,190_T_CELL,linifanib,2.7093,0.4329,Minor response,99.87
190_T,190_T_CELL,sorafenib,1.1074,0.0443,Minor response,100.20
190_T,190_T_CELL,gefitinib,1.0529,0.0224,Minor response,100.00
190_T,190_T_CELL,vandetanib,0.7266,-0.1387,Minor response,100.10
190_T,190_T_CELL,5-FU,0.4457,-0.3510,Minor response,55.10
190_T,190_T_CELL,AZD8931,0.1027,-0.9884,Moderate response,99.60
190_T,190_T_CELL,afatinib,0.0789,-1.1029,Moderate response,100.20
190_T,190_T_CELL,selumetinib,0.0280,-1.5528,Strong response,99.56
190_T,190_T_CELL,staurosporine,0.0081,-2.0915,Strong response,100.03
190_T,190_T_CELL,irinotecan,9.4978,0.9776,Resistant,77.50
195_T,195_T_CELL2,BI 860585,60.0000,1.7782,Resistant,72.70
195_T,195_T_CELL2,linifanib,60.0000,1.7782,Resistant,77.13
195_T,195_T_CELL2,regorafenib,60.0000,1.7782,Resistant,57.70
195_T,195_T_CELL2,sunitinib,60.0000,1.7782,Resistant,96.00
195_T,195_T_CELL2,vandetanib,60.0000,1.7782,Resistant,90.10
195_T,195_T_CELL2,afatinib,39.4478,1.5960,Resistant,82.10
195_T,195_T_CELL2,sorafenib,10.4104,1.0175,Resistant,82.20
195_T,195_T_CELL2,5-FU,>60.0000,1.7782,Resistant,10.90
195_T,195_T_CELL2,AZD8931,>60.0000,1.7782,Resistant,41.50
195_T,195_T_CELL2,gefitinib,>60.0000,1.7782,Resistant,25.60
195_T,195_T_CELL2,nintedanib,>60.0000,1.7782,Resistant,44.93
195_T,195_T_CELL2,oxaliplatin,>60.0000,1.7782,Resistant,18.50
195_T,195_T_CELL2,selumetinib,>60.0000,1.7782,Resistant,36.60
195_T,195_T_CELL2,staurosporine,0.1643,-0.7844,Moderate response,100.77
195_T,195_T_CELL2,irinotecan,6.7846,0.8315,Resistant,59.30
209_MET2,209_MET2_CELL,sorafenib,15.4191,1.1881,Resistant,94.00
209_MET2,209_MET2_CELL,AZD8931,10.1485,1.0064,Resistant,87.20
209_MET2,209_MET2_CELL,afatinib,9.0102,0.9547,Resistant,105.20
209_MET2,209_MET2_CELL,gefitinib,8.3718,0.9228,Resistant,103.20
209_MET2,209_MET2_CELL,regorafenib,8.2094,0.9143,Resistant,99.50
209_MET2,209_MET2_CELL,sunitinib,7.4815,0.8740,Resistant,104.60
209_MET2,209_MET2_CELL,vandetanib,5.6718,0.7537,Resistant,104.70
209_MET2,209_MET2_CELL,linifanib,4.9979,0.6988,Minor response,78.64
209_MET2,209_MET2_CELL,nintedanib,4.8855,0.6889,Minor response,102.87
209_MET2,209_MET2_CELL,BI 860585,2.9255,0.4662,Minor response,99.50
209_MET2,209_MET2_CELL,oxaliplatin,>60.0000,1.7782,Resistant,33.50
209_MET2,209_MET2_CELL,selumetinib,1.4931,0.1741,Minor response,93.09
209_MET2,209_MET2_CELL,5-FU,0.1936,-0.7131,Moderate response,55.70
209_MET2,209_MET2_CELL,staurosporine,0.1409,-0.8511,Moderate response,99.84
209_MET2,209_T2_CELL,irinotecan,17.6040,1.2456,Resistant,67.80
216_T,216_T_CELL,sunitinib,60.0000,1.7782,Resistant,102.40
216_T,216_T_CELL,linifanib,14.1845,1.1518,Resistant,92.94
216_T,216_T_CELL,nintedanib,13.2634,1.1227,Resistant,103.70
216_T,216_T_CELL,sorafenib,12.3558,1.0919,Resistant,90.20
216_T,216_T_CELL,selumetinib,7.6282,0.8824,Resistant,68.22
216_T,216_T_CELL,vandetanib,5.0403,0.7025,Minor response,103.40
216_T,216_T_CELL,regorafenib,3.2320,0.5095,Minor response,67.20
216_T,216_T_CELL,AZD8931,2.6128,0.4171,Minor response,74.10
216_T,216_T_CELL,gefitinib,>60.0000,1.7782,Resistant,48.70
216_T,216_T_CELL,oxaliplatin,>60.0000,1.7782,Resistant,37.40
216_T,216_T_CELL,BI 860585,1.3928,0.1439,Minor response,87.70
216_T,216_T_CELL,afatinib,0.7430,-0.1290,Minor response,104.30
216_T,216_T_CELL,5-FU,0.7139,-0.1464,Minor response,63.60
216_T,216_T_CELL,staurosporine,0.0868,-1.0615,Moderate response,101.77
227_T,227_T_CELL,sorafenib,6.1062,0.7858,Resistant,113.20
227_T,227_T_CELL,nintedanib,5.2860,0.7231,Resistant,112.21
227_T,227_T_CELL,linifanib,5.1078,0.7082,Resistant,113.26
227_T,227_T_CELL,regorafenib,3.0555,0.4851,Minor response,107.30
227_T,227_T_CELL,sunitinib,2.9224,0.4657,Minor response,113.80
227_T,227_T_CELL,5-FU,>60.0000,1.7782,Resistant,45.90
227_T,227_T_CELL,oxaliplatin,>60.0000,1.7782,Resistant,34.60
227_T,227_T_CELL,gefitinib,1.4620,0.1649,Minor response,86.00
227_T,227_T_CELL,afatinib,1.1028,0.0425,Minor response,113.80
227_T,227_T_CELL,vandetanib,0.5831,-0.2343,Minor response,66.90
227_T,227_T_CELL,BI 860585,0.3283,-0.4837,Moderate response,112.30
227_T,227_T_CELL,selumetinib,0.2272,-0.6436,Moderate response,104.46
227_T,227_T_CELL,AZD8931,0.1280,-0.8928,Moderate response,96.90
227_T,227_T_CELL,staurosporine,0.0104,-1.9830,Strong response,100.24
227_T,227_T_CELL,irinotecan,4.1908,0.6223,Minor response,97.10
234_T,234_T_CELL,gefitinib,29.1772,1.4650,Resistant,98.30
234_T,234_T_CELL,linifanib,26.1921,1.4182,Resistant,98.47
234_T,234_T_CELL,sunitinib,25.8534,1.4125,Resistant,98.50
234_T,234_T_CELL,selumetinib,22.5891,1.3539,Resistant,98.95
234_T,234_T_CELL,vandetanib,18.7665,1.2734,Resistant,98.90
234_T,234_T_CELL,nintedanib,9.0884,0.9585,Resistant,98.17
234_T,234_T_CELL,afatinib,6.9582,0.8425,Resistant,60.90
234_T,234_T_CELL,5-FU,>60.0000,1.7782,Resistant,35.00
234_T,234_T_CELL,AZD8931,>60.0000,1.7782,Resistant,17.60
234_T,234_T_CELL,oxaliplatin,>60.0000,1.7782,Resistant,48.70
234_T,234_T_CELL,sorafenib,0.9618,-0.0169,Minor response,53.80
234_T,234_T_CELL,regorafenib,0.5787,-0.2375,Minor response,57.30
234_T,234_T_CELL,BI 860585,0.1998,-0.6993,Moderate response,62.20
234_T,234_T_CELL,staurosporine,0.1298,-0.8867,Moderate response,93.80
234_T,234_T_CELL,irinotecan,28.0514,1.4480,Resistant,98.40
238_T,238_T_CELL,AZD8931,60.0000,1.7782,Resistant,75.70
238_T,238_T_CELL,sunitinib,35.6152,1.5516,Resistant,97.40
238_T,238_T_CELL,nintedanib,26.0984,1.4166,Resistant,97.83
238_T,238_T_CELL,vandetanib,23.8361,1.3772,Resistant,97.20
238_T,238_T_CELL,sorafenib,14.1427,1.1505,Resistant,98.50
238_T,238_T_CELL,linifanib,12.3578,1.0919,Resistant,98.02
238_T,238_T_CELL,afatinib,10.7650,1.0320,Resistant,98.90
